mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.14909124374389648,0.0027800060132740917,0.010834455490112305,0.0010925549532099514,0.85,0.01,scale,rbf,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5476190476190477,0.5833333333333334,0.5952380952380952,0.5357142857142857,0.5714285714285714,0.5666666666666667,0.022080044036894533,241
0.1140829086303711,0.009549620803786428,0.007565879821777343,0.0005105576216619234,0.85,0.01,scale,poly,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.2619047619047619,0.2857142857142857,0.17857142857142858,0.23809523809523808,0.20238095238095238,0.23333333333333334,0.03883215816738116,322
0.1579117774963379,0.004460454329612913,0.012078237533569337,0.0011930904353682028,0.85,0.01,auto,rbf,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.6785714285714286,0.6666666666666666,0.6666666666666666,0.5952380952380952,0.6071428571428571,0.6428571428571429,0.03450327796711772,208
0.07992730140686036,0.0034840215041159303,0.0072062015533447266,0.0007957890746609859,0.85,0.01,auto,poly,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.7380952380952381,0.7619047619047619,0.6785714285714286,0.7023809523809523,0.75,0.7261904761904763,0.03104382097715546,189
0.14641447067260743,0.0027747374314285806,0.010140323638916015,0.0009977025065518786,0.85,0.01,0.001,rbf,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.5476190476190477,0.5357142857142857,0.5119047619047619,0.5357142857142857,0.4642857142857143,0.5190476190476191,0.02973808570665904,251
0.10404882431030274,0.0018040246608961702,0.00738525390625,0.0006777316405186795,0.85,0.01,0.001,poly,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 0.001, 'svm__kernel': 'poly'}",0.19047619047619047,0.21428571428571427,0.11904761904761904,0.19047619047619047,0.17857142857142858,0.17857142857142858,0.031943828249996996,331
0.13586339950561524,0.006316858596901971,0.011041355133056641,0.0008185268572582549,0.85,0.01,0.01,rbf,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.5476190476190477,0.5714285714285714,0.6309523809523809,0.5357142857142857,0.5833333333333334,0.5738095238095238,0.03316282923139075,240
0.09075703620910644,0.002190656522926143,0.007325315475463867,0.0010102913918130293,0.85,0.01,0.01,poly,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.2619047619047619,0.32142857142857145,0.21428571428571427,0.2857142857142857,0.2261904761904762,0.261904761904762,0.03912303982179759,308
0.13774824142456055,0.002408426596387116,0.011354827880859375,0.0012430590916111153,0.85,0.01,0.1,rbf,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.6547619047619048,0.6428571428571429,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.6404761904761905,0.019047619047619032,210
0.07367100715637206,0.002760129145103203,0.006292963027954101,0.0005051597100439096,0.85,0.01,0.1,poly,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.7261904761904762,0.7857142857142857,0.7261904761904762,0.75,0.75,0.7476190476190476,0.021821789023599245,173
0.14072880744934083,0.004784903779370783,0.013304615020751953,0.0017234925267636213,0.85,0.01,1.0,rbf,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 1.0, 'svm__kernel': 'rbf'}",0.2857142857142857,0.38095238095238093,0.34523809523809523,0.2976190476190476,0.34523809523809523,0.33095238095238094,0.034830330567447124,274
0.08175673484802246,0.003204068751656602,0.007519435882568359,0.001893072388714697,0.85,0.01,1.0,poly,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 1.0, 'svm__kernel': 'poly'}",0.7619047619047619,0.75,0.7738095238095238,0.8095238095238095,0.7857142857142857,0.7761904761904761,0.020481726826291975,120
0.1381197452545166,0.0036720123461352113,0.010442018508911133,0.0012918166527705374,0.85,0.01,10.0,rbf,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 10.0, 'svm__kernel': 'rbf'}",0.2261904761904762,0.2976190476190476,0.25,0.23809523809523808,0.25,0.2523809523809524,0.02428104530282279,316
0.08529157638549804,0.0034007178021615873,0.007476615905761719,0.0027413719086749814,0.85,0.01,10.0,poly,"{'pca__n_components': 0.85, 'svm__C': 0.01, 'svm__gamma': 10.0, 'svm__kernel': 'poly'}",0.7619047619047619,0.75,0.7738095238095238,0.8095238095238095,0.7857142857142857,0.7761904761904761,0.020481726826291975,120
0.1275017738342285,0.0016570681925063661,0.010809612274169923,0.0009846482886716162,0.85,0.1,scale,rbf,"{'pca__n_components': 0.85, 'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5476190476190477,0.5833333333333334,0.5952380952380952,0.5357142857142857,0.5714285714285714,0.5666666666666667,0.022080044036894533,241
